"docid","docnumber","docdate","parent","request"
414051,"ОП-З-00073-001","2023-06-23 09:14:12.352472+03",413936,"1022200907794"
412740,"О-З-00017-002","2023-06-20 14:26:02.272314+03",412442,"1030100510461"
412900,"ОП-З-00028-001","2023-06-21 09:08:10.800947+03",412854,"1024200721797"
412304,"ОП-З-00005-001","2023-06-19 16:39:11.096665+03",412293,"1026605402394"
413761,"ОП-З-00055-002","2023-06-22 14:44:21.289675+03",413570,"1026401590610"
416543,"ОП-З-00138-001","2023-06-27 14:42:41.520969+03",416499,"1065302005295"
419856,"ОП-З-00223-003","2023-06-29 16:44:33.563623+03",419108,"1025203750791"
417680,"ОП-З-00177-001","2023-06-28 10:09:14.796842+03",417642,"1142722001223"
424211,"ОП-З-00335-004","2023-07-04 12:21:21.893965+03",422948,"1028301647032"
442979,"ОП-З-00904-001","2023-08-01 12:38:07.863178+03",442968,"1036300667534"
518841,"ОП-З-03082-001","2023-11-16 18:23:24.198253+03",518795,"1034316511041"
412351,"З-00007","2023-06-19 17:57:02.360549+03",NULL,"1027802505279"
421024,"ОП-З-00258-001","2023-06-30 17:22:12.708742+03",420707,"1036300880747"
421167,"ОП-З-00288-001","2023-06-30 17:32:48.301866+03",420933,"1034700559475"
418419,"ОП-З-00174-002","2023-06-28 15:42:33.035403+03",417612,"1026604939855"
437777,"ОП-З-00738-001","2023-07-19 15:43:56.320389+03",437731,"1026602317994"
419886,"ОП-З-00231-002","2023-06-29 16:49:00.08137+03",419683,"1026605402394"
412244,"З-00004","2023-06-19 14:17:01.589083+03",NULL,"1026605402394"
432759,"ОП-З-00581-002","2023-07-12 14:44:21.435484+03",432730,"1025801438651"
421180,"ОП-З-00270-001","2023-06-30 17:35:07.336223+03",420803,"1027301181984"
419120,"ОП-З-00219-002","2023-06-29 10:39:06.840819+03",418970,"1022401793248"
418895,"О-З-00178-001","2023-06-29 09:48:02.082728+03",417650,"1021000541803"
425974,"ОП-З-00339-002","2023-07-05 13:46:47.264921+03",423105,"1022901003861"
420537,"ОП-З-00245-003","2023-06-30 10:13:55.912434+03",420262,"1027501164899"
438682,"ОП-З-00753-002","2023-07-20 12:56:41.018647+03",438612,"1020100510319"
461398,"ОП-З-01496-001","2023-09-05 12:40:15.93649+03",461382,"1155074010508"
461329,"ОП-З-01482-002","2023-09-05 12:03:02.565954+03",460861,"1057747900143"
435534,"О-З-00668-001","2023-07-17 16:05:02.213839+03",435409,"1209200005486"
427355,"ОП-З-00445-002","2023-07-06 11:34:08.372324+03",427275,"1026401590786"
427914,"О-З-00252-003","2023-07-06 13:27:01.940787+03",420555,"1035607500224"
420595,"ОП-З-00247-001","2023-06-30 19:02:23.626395+03",420283,"1026604939855"
432971,"ОП-З-00584-001","2023-07-12 16:22:32.368331+03",432960,"1072130006740"
422368,"ОП-З-00262-003","2023-07-03 11:18:20.105705+03",420744,"1023701393913"
420402,"ОП-З-00244-001","2023-06-30 09:45:04.443641+03",420255,"1026401590610"
424064,"ОП-З-00363-001","2023-07-04 11:40:16.440466+03",423518,"1024800833628"
427926,"ОП-З-00457-003","2023-07-06 13:37:21.05111+03",427693,"1027802505279"
421318,"ОП-З-00261-001","2023-06-30 18:01:17.619699+03",420733,"1023302752472"
427971,"ОП-З-00457-004","2023-07-06 13:40:45.108654+03",427693,"1027802505279"
525775,"ОП-З-03183-005","2023-11-30 15:31:10.194974+03",522024,"1026602950065"
455159,"ОП-З-00917-003","2023-08-30 09:38:34.264176+03",443363,"1038302271919"
422644,"ОП-З-00274-002","2023-07-03 12:40:10.954657+03",420833,"1022401793248"
422427,"ОП-З-00325-001","2023-07-03 11:35:24.608363+03",422390,"1142722001223"
422351,"О-З-00262-002","2023-07-03 11:17:01.437242+03",420744,"1023701393913"
436027,"ОП-З-00686-001","2023-07-18 09:15:08.134514+03",435943,"1022500615610"
436040,"ОП-З-00689-001","2023-07-18 09:17:33.923888+03",435964,"1027501153074"
423617,"О-З-00292-003","2023-07-04 09:36:02.320403+03",421076,"1024301004860"
424119,"ОП-З-00163-009","2023-07-04 11:38:42.144558+03",417345,"1027802505279"
426913,"ОП-З-00430-001","2023-07-06 09:49:52.089014+03",426705,"1024001186483"
425079,"О-З-00353-001","2023-07-05 02:59:02.366867+03",423432,"1027900510659"
425301,"ОП-З-00387-002","2023-07-05 10:23:19.535708+03",424964,"1027301181984"
424897,"ОП-З-00385-001","2023-07-04 15:45:39.07259+03",424886,"1021000843478"
425272,"ОП-З-00353-002","2023-07-05 10:13:50.73227+03",423432,"1027900510659"
