;docid;docnumber;docdate;parent;request;date;hour;name;federal_district;region_with_type;city;timezone;lat;lon;local_time
0;414051;ОП-З-00073-001;2023-06-23 09:14:12.352472+03:00;413936;1022200907794;2023-06-23;9;"КГБОУ ""АЛТАЙСКИЙ КРАЕВОЙ ПЕДАГОГИЧЕСКИЙ ЛИЦЕЙ-ИНТЕРНАТ""";Сибирский;Алтайский край;Барнаул;UTC+7;53.33927;83.767044;2023-06-23 13:14:12.352472+07:00
1;412740;О-З-00017-002;2023-06-20 14:26:02.272314+03:00;412442;1030100510461;2023-06-20;14;УО АМО КОШЕХАБЛЬСКИЙ РАЙОН;Южный;Респ Адыгея;;UTC+3;44.895884;40.492873;2023-06-20 14:26:02.272314+03:00
2;412900;ОП-З-00028-001;2023-06-21 09:08:10.800947+03:00;412854;1024200721797;2023-06-21;9;"ГБНОУ ""ГМЛИ"", ГБНОУ ""ГУБЕРНАТОРСКИЙ МНОГОПРОФИЛЬНЫЙ ЛИЦЕЙ-ИНТЕРНАТ""";Сибирский;Кемеровская область - Кузбасс;Кемерово;UTC+7;55.3369049;86.1380722;2023-06-21 13:08:10.800947+07:00
3;412304;ОП-З-00005-001;2023-06-19 16:39:11.096665+03:00;412293;1026605402394;2023-06-19;16;МАОУ СОШ № 76 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ;Уральский;Свердловская обл;Екатеринбург;UTC+5;56.8306504;60.6230595;2023-06-19 18:39:11.096665+05:00
4;413761;ОП-З-00055-002;2023-06-22 14:44:21.289675+03:00;413570;1026401590610;2023-06-22;14;"МАОУ ""ГИМНАЗИЯ ИМЕНИ Ю.А. ГАРНАЕВА""";Приволжский;Саратовская обл;Балашов;UTC+4;51.5520858;43.1420728;2023-06-22 15:44:21.289675+04:00
5;416543;ОП-З-00138-001;2023-06-27 14:42:41.520969+03:00;416499;1065302005295;2023-06-27;14;"МАОУ ""ГИМНАЗИЯ"" Г.ВАЛДАЙ";Северо-Западный;Новгородская обл;Валдай;UTC+3;57.9853524;33.2387915;2023-06-27 14:42:41.520969+03:00
6;419856;ОП-З-00223-003;2023-06-29 16:44:33.563623+03:00;419108;1025203750791;2023-06-29;16;МАОУ СШ № 151 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ;Приволжский;Нижегородская обл;Нижний Новгород;UTC+3;56.3097995;44.0273619;2023-06-29 16:44:33.563623+03:00
7;417680;ОП-З-00177-001;2023-06-28 10:09:14.796842+03:00;417642;1142722001223;2023-06-28;10;КГАНОУ КЦО;Дальневосточный;Хабаровский край;Хабаровск;UTC+10;48.4284741;135.1070275;2023-06-28 17:09:14.796842+10:00
8;424211;ОП-З-00335-004;2023-07-04 12:21:21.893965+03:00;422948;1028301647032;2023-07-04;12;"ГБОУ НАО ""СШ № 1 ИМЕНИ П.М. СПИРИХИНА""";Северо-Западный;Ненецкий АО;Нарьян-Мар;UTC+3;67.6379672;53.0069565;2023-07-04 12:21:21.893965+03:00
9;442979;ОП-З-00904-001;2023-08-01 12:38:07.863178+03:00;442968;1036300667534;2023-08-01;12;"ГАПОУ ""СГК""";Приволжский;Самарская обл;Самара;UTC+4;53.1871171;50.0961042;2023-08-01 13:38:07.863178+04:00
10;518841;ОП-З-03082-001;2023-11-16 18:23:24.198253+03:00;518795;1034316511041;2023-11-16;18;"ФГБОУ ВО ""ВЯТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"", ВЯТГУ, ВЯТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";Приволжский;Кировская обл;Киров;UTC+3;58.6022979;49.6653679;2023-11-16 18:23:24.198253+03:00
11;412351;З-00007;2023-06-19 17:57:02.360549+03:00;0;1027802505279;2023-06-19;17;"ФГАОУ ВО СПБПУ,СПБПУ,ФГАОУ ВО ""СПБПУ"", САНКТ-ПЕТЕРБУРГСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ПЕТРА ВЕЛИКОГО";Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;60.0075321;30.3730651;2023-06-19 17:57:02.360549+03:00
12;421024;ОП-З-00258-001;2023-06-30 17:22:12.708742+03:00;420707;1036300880747;2023-06-30;17;САМАРСКИЙ РЕГИОНАЛЬНЫЙ ЦЕНТР ДЛЯ ОДАРЕННЫХ ДЕТЕЙ;Приволжский;Самарская обл;Самара;UTC+4;53.2287205;50.2325462;2023-06-30 18:22:12.708742+04:00
13;421167;ОП-З-00288-001;2023-06-30 17:32:48.301866+03:00;420933;1034700559475;2023-06-30;17;"МОБУ ""СОШ № 6"" Г. ВСЕВОЛОЖСКА";Северо-Западный;Ленинградская обл;Всеволожск;UTC+3;59.9938241;30.6474183;2023-06-30 17:32:48.301866+03:00
14;418419;ОП-З-00174-002;2023-06-28 15:42:33.035403+03:00;417612;1026604939855;2023-06-28;15;"ФГАОУ ВО ""УРФУ ИМЕНИ ПЕРВОГО ПРЕЗИДЕНТА РОССИИ Б.Н. ЕЛЬЦИНА"", УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ, УРФУ, УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ ИМЕНИ ПЕРВОГО ПРЕЗИДЕНТА РОССИИ Б.Н. ЕЛЬЦИНА";Уральский;Свердловская обл;Екатеринбург;UTC+5;56.843987;60.653843;2023-06-28 17:42:33.035403+05:00
15;437777;ОП-З-00738-001;2023-07-19 15:43:56.320389+03:00;437731;1026602317994;2023-07-19;15;МАОУ СОШ № 1 ИМЕНИ С.С. АЛЕКСЕЕВА;Уральский;Свердловская обл;Екатеринбург;UTC+5;56.8388117;60.5722803;2023-07-19 17:43:56.320389+05:00
