"code","name","utc","population"
"01","Республика Адыгея (Aдыгея)","UTC+3",497985
"02","Республика Башкортостан","UTC+5",4077600
"03","Республика Бурятия","UTC+8",974628
"04","Республика Алтай","UTC+7",210769
"05","Республика Дагестан","UTC+3",3209781
"","Донецкая Народная Республика","UTC+3",2244547
"","Республика Ингушетия","UTC+3",519078
"","Кабардино-Балкарская Республика","UTC+3",26517
"08","Республика Калмыкия","UTC+3",264483
"09","Карачаево-Черкесская Республика","UTC+3",468444
"10","Республика Карелия","UTC+3",527880
"11","Республика Коми","UTC+3",726434
"","Республика Крым","UTC+3",1916805
"","Луганская Народная Республика","UTC+3",1400000
"12","Республика Марий Эл","UTC+3",672321
"13","Республика Мордовия","UTC+3",771373
"14","Республика Саха (Якутия)","UTC+10",997565
"15","Республика Северная Осетия - Алания","UTC+3",680748
"16","Республика Татарстан","UTC+3",4001625
"17","Республика Тыва","UTC+7",337271
"","Удмуртская Республика","UTC+4",1442251
"19","Республика Хакасия","UTC+7",530233
"20","Чеченская Республика","UTC+3",1533209
"21","Чувашская Республика - Чувашия","UTC+3",1173177
"22","Алтайский край","UTC+7",2130950
"","Забайкальский край","UTC+9",992429
"","Камчатский край","UTC+12",288730
"23","Краснодарский край","UTC+3",5819345
"24","Красноярский край","UTC+7",2845545
"","Пермский край","UTC+5",2508352
"25","Приморский край","UTC+10",1820076
"26","Ставропольский край","UTC+3",2891204
"27","Хабаровский край","UTC+10",1284090
"28","Амурская область","UTC+9",756198
"29","Архангельская область","UTC+3",1005687
"","Астраханская область","UTC+4",950557
"31","Белгородская область","UTC+3",1514527
"32","Брянская область","UTC+3",1152505
"","Владимирская область","UTC+3",1325510
"","Волгоградская область","UTC+3",2470057
"","Вологодская область","UTC+3",1128782
"","Воронежская область","UTC+3",2285282
"","Запорожская область","UTC+3",1636322
"","Ивановская область","UTC+3",914725
"","Иркутская область","UTC+8",2344360
"","Калининградская область","UTC+2",1032343
"","Калужская область","UTC+3",1070853
"","Кемеровская область - Кузбасс","UTC+7",2568238
"","Кировская область","UTC+3",1138112
"","Костромская область","UTC+3",571900
"","Курганская область","UTC+2",761586
"","Курская область","UTC+3",1067034
"","Ленинградская область","UTC+3",2023767
"","Липецкая область","UTC+3",1126263
"","Магаданская область","UTC+11",134315
"","Московская область","UTC+3",8591736
"","Мурманская область","UTC+3",658698
"","Нижегородская область","UTC+3",3081817
"","Новгородская область","UTC+3",575926
"","Новосибирская область","UTC+7",2794266
"","Омская область","UTC+6",1832064
"","Оренбургская область","UTC+5",1841377
"","Орловская область","UTC+3",700276
"","Пензенская область","UTC+3",1246609
"","Псковская область","UTC+3",587786
"","Ростовская область","UTC+3",4164547
"","Рязанская область","UTC+3",1088918
"","Самарская область","UTC+4",3142683
"","Саратовская область","UTC+4",2404944
"","Сахалинская область","UTC+11",460535
"","Свердловская область","UTC+5",4239161
"","Смоленская область","UTC+3",873041
"","Тамбовская область","UTC+3",966250
"","Тверская область","UTC+3",1211183
"","Томская область","UTC+7",1052106
"","Тульская область","UTC+3",1481471
"","Тюменская область","UTC+5",3851234
"","Ульяновская область","UTC+4",1181006
"","Херсонская область","UTC+3",1000370
"","Челябинская область","UTC+5",3407145
"","Ярославская область","UTC+3",1194605
"","Москва","UTC+3",1310417
"","Санкт-Петербург","UTC+3",5600044
"","Севастополь","UTC+3",558273
"","Еврейская автономная область","UTC+10",147458
"","Ненецкий автономный округ","UTC+3",41383
"","Ханты-Мансийский автономный округ - Югра","UTC+5",1730353
"","Чукотский автономный округ","UTC+12",47840
"","Ямало-Ненецкий автономный округ","UTC+5",512387
